	タイトル	2022-03-06	2022-03-07	2022-03-08	2022-03-10	2022-03-11	2022-03-12	2022-03-13	2022-03-14	2022-03-15	2022-03-16	2022-03-17	2022-03-18	2022-03-19	2022-03-20	2022-03-21	2022-03-22	2022-03-23	2022-03-24	2022-03-25	2022-03-26	2022-03-27	2022-03-28	2022-03-29	2022-03-30	2022-04-01	2022-04-02	2022-04-03	2022-04-04	2022-04-05	2022-04-06	2022-04-07	2022-04-08	2022-04-09	2022-04-10	2022-04-11	2022-04-12	2022-04-13	2022-04-14	2022-04-15	2022-04-16	2022-04-17	2022-04-18	2022-04-19	2022-04-20	2022-04-21	2022-04-22	2022-04-23	2022-04-24	2022-04-25	2022-04-26	2022-04-27	2022-04-28	2022-04-29	2022-04-30	2022-05-01	2022-05-02	2022-05-03	2022-05-04	2022-05-05	2022-05-06	2022-05-07	2022-05-08	2022-05-09	2022-05-10	2022-05-11	2022-05-12	2022-05-13	2022-05-14	2022-05-15	2022-05-16	2022-05-17	2022-05-18	2022-05-19	2022-05-20	2022-05-21	2022-05-22	2022-05-23	2022-05-24	2022-05-25	2022-05-26	2022-05-27	2022-05-28	2022-05-29	2022-05-30	2022-05-31	2022-06-01	2022-06-02	2022-06-03	2022-06-04	2022-06-05	2022-06-06	2022-06-07	2022-06-08	2022-06-09	2022-06-10	2022-06-11	2022-06-12	2022-06-13	2022-06-14	2022-06-15	2022-06-16	2022-06-17	2022-06-18	2022-06-19	2022-06-20	2022-06-21	2022-06-22	2022-06-23	2022-06-24	2022-06-25	2022-06-26	2022-06-27	2022-06-28	2022-06-29	2022-06-30	2022-07-01	2022-07-02	2022-07-03	2022-07-04	2022-07-05	2022-07-06	2022-07-07	2022-07-08	2022-07-09	2022-07-10	2022-07-11	2022-07-12	2022-07-13	2022-07-14	2022-07-15	2022-07-16	2022-07-17	2022-07-18	2022-07-19	2022-07-20	2022-07-21	2022-07-22	2022-07-23	2022-07-25	2022-07-26	2022-07-27	2022-07-28	2022-07-29	2022-07-30	2022-07-31	2022-08-01	2022-08-02	2022-08-03	2022-08-04	2022-08-05	2022-08-06	2022-08-07	2022-08-08	2022-08-09	2022-08-10	2022-08-11	2022-08-12	2022-08-13	2022-08-14	2022-08-15	2022-08-16	2022-08-17	2022-08-18	2022-08-19	2022-08-20	2022-08-21	2022-08-22	2022-08-23	2022-08-24	2022-08-25	2022-08-26	2022-08-27	2022-08-28	2022-08-29	2022-08-30	2022-08-31	2022-09-01	2022-09-02	2022-09-04	2022-09-05	2022-09-06	2022-09-07	2022-09-08	2022-09-09	2022-09-10	2022-09-11	2022-09-12	2022-09-13	2022-09-14	2022-09-15	2022-09-17	2022-09-18	2022-09-19	2022-09-20	2022-09-21	2022-09-22	2022-09-23	2022-09-24
https://youtu.be/cvC7UNTKA14	KAN 【弾き語りばったり #30 First Class Distance】 Special ion for J-LOD	45652	45704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://youtu.be/pQktKrbhO50	LIVE DVD 【LIVE SUMMIT G7】 Official Trailer	22518	22529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://youtu.be/0Tbp846aS-g	配信【弾き語りばったり #30 First Class Distance】Official Trailer	29613	29624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://youtu.be/OT0MjkTMPNw	KAN 『エキストラ』 Lyrics	317107	317225	317580	318196	318428	318717	319021	319301	319558	319844	320111	320415	320730	321105	321411	321675	321906	322176	322474	322774	323093	323377	323636	323906	324486	324731	325006	325279	325515	325779	326060	326362	326645	326973	327180	327443	327713	327971	328263	328595	328905	329208	329502	329795	330066	330351	330698	331068	331405	331680	332041	332414	332766	333176	333530	333930	334268	334595	334917	335254	335595	336010	336344	336667	337003	337355	337725	338105	338527	338920	339269	339616	339961	340306	340706	341122	341449	341821	342162	342502	342857	343212	343615	343963	344276	344583	344906	345223	345568	345915	346262	346589	346856	347172	347561	347919	348287	348639	348967	349296	349638	349962	350276	350584	350916	351173	351482	351739	352027	352318	352583	352808	353080	353360	353656	353950	354231	354513	354794	355061	355337	355627	355998	356275	356525	356786	357007	357221	357447	357673	357905	358104	358323	358567	358766	358977	359176	359380	359825	360056	360272	360466	360678	360867	361159	361373	361547	361764	361993	362165	362388	362598	362794	362996	363200	363399	363639	363873	364127	364346	364551	364789	365040	365296	365540	365835	366051	366248	366500	366790	367021	367256	367509	367738	367996	368241	368500	368798	369399	369713	370014	370262	370500	370766	371117	371414	371653	371931	372186	372448	373056	373405	373665	373973	374246	374527	374810	375078
https://youtu.be/O4Bl0ehLQic	KAN『ポップミュージック』 Short	857231	857327	857580	858051	858220	858398	858639	858861	859058	859252	859462	859707	859889	860119	860306	860506	860676	860857	861019	861171	861375	861536	861674	861864	862215	862412	862612	862785	862924	863085	863242	863425	863606	863811	863989	864186	864379	864550	864809	865022	865260	865539	865744	865956	866192	866387	866590	866845	867088	867279	867493	867702	867920	868150	868374	868563	868724	868888	869066	869283	869457	869719	869912	870079	870249	870426	870637	870848	871074	871286	871459	871677	871866	872114	872353	872617	872792	872960	873176	873355	873578	873832	874085	874275	874505	874754	874956	875165	875366	875602	875810	875972	876169	876384	876579	876754	876987	877165	877314	877480	877680	877888	878112	878326	878513	878665	878848	879028	879198	879372	879556	879742	879904	880062	880222	880394	880553	880730	880899	881037	881178	881346	881493	881611	881749	881875	882000	882156	882311	882478	882628	882798	882958	883113	883260	883417	883585	883730	884062	884187	884312	884469	884658	884844	885008	885188	885345	885473	885643	885793	885926	886107	886281	886443	886615	886797	886984	887129	887286	887442	887578	887706	887841	887994	888151	888328	888475	888640	888779	888920	889056	889221	889398	889544	889671	889788	889914	890020	890308	890421	890535	890678	890799	890955	891091	891254	891409	891545	891674	891795	892114	892308	892454	892652	892810	892964	893149	893322
https://youtu.be/4hBXyKA_D48	KAN『la RiSCOPERTA』Official Trailer	64918	64922	64939	64980	64992	65008	65016	65024	65043	65057	65065	65074	65088	65102	65118	65132	65151	65162	65176	65185	65200	65214	65225	65238	65254	65265	65273	65282	65285	65293	65302	65310	65317	65325	65333	65341	65355	65371	65388	65396	65410	65423	65440	65450	65462	65470	65480	65496	65507	65517	65533	65546	65559	65575	65587	65606	65615	65633	65641	65647	65658	65675	65681	65694	65700	65710	65723	65731	65755	65774	65789	65803	65815	65824	65838	65849	65859	65867	65884	65887	65901	65911	65921	65931	65947	65963	65983	65997	66012	66029	66045	66053	66059	66063	66074	66085	66098	66110	66116	66122	66136	66144	66162	66171	66185	66192	66197	66206	66218	66224	66238	66247	66257	66273	66282	66301	66313	66324	66335	66343	66362	66366	66374	66383	66392	66399	66407	66416	66422	66427	66436	66450	66467	66479	66487	66498	66512	66519	66539	66550	66556	66566	66582	66590	66603	66612	66630	66640	66647	66661	66670	66679	66691	66702	66709	66711	66723	66734	66744	66751	66764	66773	66780	66790	66799	66808	66816	66825	66834	66841	66847	66860	66871	66877	66889	66894	66905	66912	66930	66940	66946	66958	66965	66977	66990	66998	67012	67016	67025	67036	67051	67054	67060	67069	67079	67086	67093	67102
https://youtu.be/e74J08OY7IA	『Chu Chu Chu』収録 カブレルズのパラパラマンガ集	20224	20224	20225	20233	20235	20235	20237	20238	20241	20241	20241	20243	20243	20245	20246	20248	20251	20252	20252	20252	20254	20254	20254	20254	20254	20254	20254	20255	20258	20259	20259	20260	20260	20261	20262	20263	20265	20265	20265	20267	20269	20272	20274	20275	20277	20277	20277	20278	20280	20282	20284	20284	20287	20288	20288	20289	20292	20293	20294	20295	20296	20297	20301	20301	20301	20302	20303	20304	20307	20310	20313	20317	20318	20320	20320	20323	20323	20323	20328	20328	20329	20329	20330	20331	20331	20333	20337	20339	20340	20340	20342	20343	20344	20346	20349	20350	20353	20354	20355	20356	20359	20361	20362	20363	20363	20364	20365	20365	20365	20365	20367	20368	20368	20370	20370	20371	20372	20373	20374	20374	20375	20375	20377	20378	20378	20378	20379	20380	20381	20382	20382	20382	20382	20383	20383	20383	20383	20383	20385	20386	20386	20387	20387	20389	20389	20389	20390	20391	20391	20392	20393	20395	20396	20396	20397	20397	20397	20398	20400	20403	20405	20407	20407	20408	20409	20411	20411	20412	20412	20412	20412	20413	20415	20415	20417	20420	20420	20420	20423	20426	20427	20428	20429	20431	20431	20431	20431	20434	20434	20434	20436	20436	20436	20439	20441	20443	20445	20446
https://youtu.be/Ty7VmiCdBNI	「Chu Chu Chu」/ with Lyrics Cabrells	24668	24669	24671	24677	24678	24682	24685	24686	24687	24689	24692	24695	24695	24695	24697	24700	24706	24707	24708	24708	24710	24711	24712	24714	24715	24715	24717	24721	24721	24721	24724	24728	24731	24734	24736	24740	24745	24746	24750	24752	24753	24755	24757	24759	24761	24761	24763	24767	24768	24769	24771	24773	24773	24776	24778	24779	24782	24784	24787	24787	24789	24791	24795	24798	24799	24803	24806	24807	24814	24821	24825	24828	24831	24831	24833	24835	24835	24838	24841	24842	24845	24847	24848	24850	24851	24852	24854	24856	24859	24859	24863	24866	24870	24872	24875	24877	24879	24879	24880	24884	24888	24891	24891	24891	24892	24895	24897	24902	24902	24903	24904	24904	24904	24906	24906	24910	24911	24911	24914	24916	24916	24920	24923	24924	24926	24929	24931	24936	24939	24943	24945	24947	24948	24950	24952	24954	24955	24956	24958	24961	24962	24964	24965	24967	24970	24973	24975	24977	24985	24987	24992	24999	25006	25009	25014	25017	25020	25024	25028	25035	25039	25041	25042	25042	25049	25051	25054	25056	25058	25061	25062	25069	25070	25071	25076	25081	25083	25085	25088	25089	25092	25094	25096	25102	25104	25104	25105	25107	25109	25111	25116	25117	25120	25130	25134	25134	25138	25139
https://youtu.be/EWhyHm_sFdY	『Chu Chu Chu』Cabrells<KAN、ジョン・B、菅原龍平、ヨースケ@HOME年齢順)>	102461	102462	102469	102487	102488	102493	102501	102503	102506	102510	102515	102519	102525	102533	102537	102543	102552	102557	102564	102566	102572	102573	102577	102578	102582	102585	102588	102591	102593	102595	102597	102601	102603	102607	102613	102615	102620	102623	102628	102630	102631	102639	102642	102648	102654	102655	102655	102656	102659	102663	102671	102675	102681	102689	102700	102706	102712	102717	102724	102725	102732	102744	102748	102757	102764	102768	102771	102775	102787	102800	102820	102831	102840	102843	102846	102849	102854	102860	102865	102870	102877	102883	102888	102894	102897	102902	102910	102918	102924	102932	102943	102950	102952	102956	102969	102975	102981	102989	102992	103005	103021	103027	103035	103041	103048	103058	103070	103086	103095	103107	103117	103127	103132	103142	103149	103153	103159	103167	103173	103180	103187	103193	103200	103204	103209	103216	103221	103229	103237	103240	103245	103249	103252	103258	103264	103265	103269	103275	103287	103293	103296	103300	103303	103306	103309	103314	103321	103326	103332	103338	103350	103359	103364	103368	103374	103379	103386	103393	103396	103401	103404	103406	103409	103415	103416	103423	103428	103433	103435	103440	103448	103450	103456	103458	103462	103464	103467	103469	103476	103481	103485	103490	103495	103500	103507	103509	103517	103520	103521	103523	103529	103530	103537	103540	103552	103554	103561	103567
https://youtu.be/JsTbEPYomhA	KAN 『よければ一緒に』 	1158773	1158836	1159013	1159343	1159494	1159686	1159942	1160130	1160290	1160478	1160629	1160817	1161001	1161201	1161400	1161584	1161755	1161925	1162069	1162213	1162361	1162526	1162653	1162803	1163109	1163245	1163474	1163654	1163775	1163908	1164040	1164198	1164345	1164525	1164688	1164838	1165001	1165175	1165308	1165489	1165637	1165798	1165976	1166135	1166300	1166470	1166646	1166846	1167015	1167155	1167339	1167513	1167688	1167916	1168131	1168324	1168495	1168689	1168863	1169059	1169209	1169390	1169555	1169688	1169838	1169982	1170151	1170349	1170553	1170736	1170875	1171036	1171210	1171384	1171539	1171747	1171880	1172047	1172211	1172367	1172559	1172718	1172938	1173098	1173226	1173393	1173573	1173778	1173954	1174165	1174292	1174422	1174620	1174806	1174983	1175155	1175366	1175517	1175671	1175855	1176052	1176246	1176449	1176643	1176850	1177000	1177168	1177358	1177555	1177729	1177909	1178086	1178258	1178449	1178619	1178841	1179055	1179242	1179415	1179587	1179746	1179923	1180122	1180285	1180465	1180625	1180806	1180981	1181135	1181329	1181513	1181700	1181843	1182035	1182169	1182324	1182474	1182630	1182950	1183090	1183247	1183389	1183598	1183770	1183947	1184079	1184199	1184344	1184478	1184662	1184825	1184989	1185157	1185316	1185503	1185673	1185847	1186042	1186221	1186388	1186542	1186689	1186846	1187017	1187206	1187416	1187615	1187789	1187984	1188167	1188366	1188550	1188730	1188885	1189054	1189224	1189380	1189576	1189938	1190123	1190305	1190477	1190631	1190838	1191002	1191206	1191412	1191591	1191768	1191925	1192296	1192518	1192702	1192893	1193065	1193251	1193457	1193648
